PassengerId,HomePlanet,CryoSleep,Cabin,Destination,VIP,Transported,Group,GroupNum,GroupSize,Deck,Side,RoomService_Trimmed,FoodCourt_Cat,Spa_Trimmed,VRDeck_Trimmed,ShoppingMall_Cat,FamilySize_Cat
0020_01,Earth,True,E/0/S,TRAPPIST-1e,False,False,20,1,6,E,S,0.0,0,0.0,0.0,0,1+
0020_02,Earth,True,E/0/S,55 Cancri e,False,False,20,2,6,E,S,0.0,0,0.0,0.0,0,1+
0020_03,Earth,True,E/0/S,55 Cancri e,False,False,20,3,6,E,S,0.0,0,0.0,0.0,0,1+
0020_04,Earth,False,E/0/S,TRAPPIST-1e,False,True,20,4,6,E,S,0.0,0,0.0,0.0,0,1
0020_05,Earth,True,E/0/S,PSO J318.5-22,False,False,20,5,6,E,S,0.0,0,0.0,0.0,0,1+
0020_06,Earth,False,E/0/S,TRAPPIST-1e,False,False,20,6,6,E,S,0.0,0,0.0,0.0,0,1+
0022_01,Mars,False,D/0/P,TRAPPIST-1e,False,False,22,1,1,D,P,980.0,1-50,0.0,0.0,51-100,1+
0024_01,Europa,True,C/2/S,TRAPPIST-1e,False,True,24,1,1,C,S,0.0,0,0.0,0.0,0,1
0025_01,Earth,False,F/6/S,TRAPPIST-1e,False,False,25,1,1,F,S,0.0,101+,998.0,0.0,0,1+
0026_01,Europa,False,C/0/P,55 Cancri e,False,False,26,1,1,C,P,22.0,101+,1438.0,328.0,0,1+
0028_01,Mars,False,F/8/P,TRAPPIST-1e,False,False,28,1,1,F,P,1125.0,0,48.0,0.0,101+,1+
0030_01,Earth,False,G/4/S,TRAPPIST-1e,False,False,30,1,1,G,S,0.0,101+,437.0,453.0,51-100,1+
0031_01,Mars,False,F/9/P,TRAPPIST-1e,False,True,31,1,3,F,P,214.0,0,0.0,1229.0,101+,1+
0031_02,Mars,False,F/9/P,TRAPPIST-1e,False,True,31,2,3,F,P,0.0,0,0.0,0.0,0,1+
0031_03,Mars,False,F/9/P,TRAPPIST-1e,False,True,31,3,3,F,P,0.0,0,990.0,0.0,101+,1+
0034_01,Europa,True,D/1/S,55 Cancri e,False,True,34,1,1,D,S,0.0,0,0.0,0.0,0,1
0035_01,Mars,False,D/1/P,55 Cancri e,False,False,35,1,1,D,P,784.0,101+,951.0,0.0,0,1+
0036_01,Earth,False,F/8/S,55 Cancri e,False,False,36,1,1,F,S,0.0,101+,20.0,401.0,1-50,1+
0038_01,Earth,False,F/10/S,55 Cancri e,False,False,38,1,1,F,S,554.0,101+,2606.0,0.0,0,1+
0039_01,Earth,True,G/1/P,55 Cancri e,False,False,39,1,1,G,P,0.0,0,0.0,0.0,0,1
0041_01,Earth,True,G/2/P,TRAPPIST-1e,False,True,41,1,1,G,P,0.0,0,0.0,0.0,0,1+
0043_01,Europa,False,B/3/P,TRAPPIST-1e,False,False,43,1,1,B,P,0.0,101+,2511.0,855.0,1-50,1+
0044_01,Earth,True,G/3/P,TRAPPIST-1e,False,False,44,1,3,G,P,0.0,0,0.0,0.0,0,1+
0044_02,Earth,True,G/3/P,55 Cancri e,False,True,44,2,3,G,P,0.0,0,0.0,0.0,0,1+
0044_03,Earth,True,G/3/P,PSO J318.5-22,False,True,44,3,3,G,P,0.0,0,0.0,0.0,0,1+
0045_01,Mars,False,F/10/P,TRAPPIST-1e,False,False,45,1,2,F,P,970.0,0,0.0,64.0,101+,1+
0045_02,Mars,True,F/10/P,TRAPPIST-1e,False,True,45,2,2,F,P,0.0,0,0.0,0.0,0,1+
0050_01,Earth,False,E/1/S,55 Cancri e,False,False,50,1,1,E,S,790.0,0,0.0,0.0,0,1+
0051_01,Earth,False,E/2/S,TRAPPIST-1e,False,False,51,1,1,E,S,0.0,101+,1379.0,127.0,0,1+
0052_01,Earth,False,G/6/S,TRAPPIST-1e,False,False,52,1,1,G,S,4.0,0,4683.0,0.0,1-50,1+
0053_01,Earth,False,F/11/S,TRAPPIST-1e,False,True,53,1,1,F,S,0.0,0,0.0,1.0,101+,1+
0056_01,Europa,False,A/1/S,TRAPPIST-1e,False,True,56,1,3,A,S,0.0,0,0.0,0.0,0,1+
0056_02,Europa,True,A/1/S,TRAPPIST-1e,False,True,56,2,3,A,S,0.0,0,0.0,0.0,0,1+
0056_03,Europa,False,A/1/S,TRAPPIST-1e,False,True,56,3,3,A,S,279.0,101+,286.0,3.0,101+,1+
0058_01,Earth,True,G/7/S,PSO J318.5-22,False,False,58,1,1,G,S,0.0,0,0.0,0.0,0,1+
0061_01,Earth,False,F/12/S,TRAPPIST-1e,False,False,61,1,1,F,S,45.0,101+,1377.0,1.0,101+,1+
0062_01,Earth,False,F/13/S,TRAPPIST-1e,False,False,62,1,1,F,S,0.0,101+,17.0,25.0,0,1+
0064_01,Mars,True,F/14/S,TRAPPIST-1e,False,True,64,1,2,F,S,0.0,0,0.0,0.0,0,1+
0064_02,Earth,True,E/3/S,TRAPPIST-1e,False,True,64,2,2,E,S,0.0,0,0.0,0.0,0,1
0066_01,Earth,False,G/6/P,TRAPPIST-1e,False,False,66,1,1,G,P,1.0,101+,0.0,460.0,101+,1+
0067_01,Earth,True,G/10/S,PSO J318.5-22,False,True,67,1,3,G,S,0.0,0,0.0,0.0,0,1+
0067_02,Earth,False,G/10/S,TRAPPIST-1e,False,True,67,2,3,G,S,1.0,101+,0.0,0.0,101+,1+
0067_03,Earth,False,F/15/S,55 Cancri e,False,False,67,3,3,F,S,1946.0,1-50,0.0,24.0,0,1+
0068_01,Mars,False,E/4/S,TRAPPIST-1e,False,False,68,1,1,E,S,793.0,0,253.0,0.0,1-50,1+
0069_01,Earth,False,F/16/S,TRAPPIST-1e,False,True,69,1,1,F,S,887.0,0,6.0,0.0,1-50,1+
0070_01,Earth,False,F/13/P,TRAPPIST-1e,False,False,70,1,1,F,P,190.0,0,1.0,726.0,1-50,1+
0071_01,Earth,False,F/14/P,TRAPPIST-1e,False,False,71,1,1,F,P,16.0,101+,0.0,52.0,0,1+
0072_01,Earth,False,F/17/S,TRAPPIST-1e,False,False,72,1,1,F,S,0.0,1-50,0.0,1063.0,0,1+
0073_01,Mars,False,D/3/P,PSO J318.5-22,False,False,73,1,1,D,P,46.0,51-100,0.0,12.0,101+,1+
0074_01,Europa,False,C/3/S,TRAPPIST-1e,False,True,74,1,1,C,S,1.0,101+,0.0,506.0,0,1+
0076_01,Mars,False,F/18/S,TRAPPIST-1e,False,True,76,1,1,F,S,147.0,0,0.0,0.0,101+,1+
0077_01,Mars,False,F/15/P,TRAPPIST-1e,False,True,77,1,1,F,P,14.0,0,0.0,0.0,101+,1
0078_01,Europa,False,C/4/S,TRAPPIST-1e,False,False,78,1,1,C,S,0.0,101+,321.0,5567.159999999996,0,1+
0081_01,Earth,True,G/13/S,TRAPPIST-1e,False,False,81,1,1,G,S,0.0,0,0.0,0.0,0,1+
0082_01,Mars,False,F/16/P,TRAPPIST-1e,False,False,82,1,3,F,P,3087.24,0,0.0,0.0,0,1+
0082_02,Mars,True,F/16/P,TRAPPIST-1e,False,True,82,2,3,F,P,0.0,0,0.0,0.0,0,1+
0082_03,Mars,False,F/16/P,TRAPPIST-1e,False,True,82,3,3,F,P,0.0,0,0.0,0.0,0,1+
0084_01,Earth,False,G/14/S,TRAPPIST-1e,False,True,84,1,1,G,S,688.0,0,0.0,17.0,0,1+
0085_01,Europa,True,C/5/S,TRAPPIST-1e,False,True,85,1,1,C,S,0.0,0,0.0,0.0,0,1+
0086_01,Earth,False,F/17/P,TRAPPIST-1e,False,False,86,1,1,F,P,211.0,0,638.0,513.0,0,1+
0088_01,Mars,True,E/5/S,PSO J318.5-22,False,True,88,1,1,E,S,0.0,0,0.0,0.0,0,1+
0090_01,Earth,True,G/15/S,TRAPPIST-1e,False,True,90,1,1,G,S,0.0,0,0.0,0.0,0,1+
0091_01,Earth,True,G/16/S,TRAPPIST-1e,False,True,91,1,2,G,S,0.0,0,0.0,0.0,0,1+
0091_02,Earth,False,F/20/S,TRAPPIST-1e,False,False,91,2,2,F,S,1.0,101+,188.0,0.0,1-50,1+
0092_01,Earth,False,G/9/P,TRAPPIST-1e,False,False,92,1,3,G,P,0.0,0,1.0,34.0,101+,1+
0092_02,Earth,True,G/9/P,TRAPPIST-1e,False,True,92,2,3,G,P,0.0,0,0.0,0.0,0,1+
0092_03,Earth,True,G/9/P,TRAPPIST-1e,False,True,92,3,3,G,P,0.0,0,0.0,0.0,0,1+
0097_01,Europa,False,A/2/S,TRAPPIST-1e,False,False,97,1,1,A,S,0.0,101+,3.0,637.0,0,1+
0098_01,Earth,False,G/11/P,TRAPPIST-1e,False,False,98,1,2,G,P,0.0,101+,32.0,0.0,1-50,1+
0098_02,Earth,False,G/11/P,TRAPPIST-1e,False,True,98,2,2,G,P,0.0,101+,0.0,87.0,101+,1+
0099_01,Earth,False,F/19/P,PSO J318.5-22,False,False,99,1,2,F,P,311.0,101+,37.0,0.0,101+,1+
0099_02,Earth,False,G/12/P,TRAPPIST-1e,False,True,99,2,2,G,P,0.0,0,0.0,0.0,0,1+
0101_01,Mars,True,G/734/S,TRAPPIST-1e,False,True,101,1,1,G,S,0.0,0,0.0,0.0,0,1+
0102_01,Earth,False,F/23/S,TRAPPIST-1e,False,False,102,1,1,F,S,0.0,0,830.0,91.0,0,1+
0103_01,Earth,False,F/24/S,TRAPPIST-1e,False,True,103,1,3,F,S,0.0,0,0.0,17.0,0,1+
0103_02,Earth,True,G/18/S,55 Cancri e,False,True,103,2,3,G,S,0.0,0,0.0,0.0,0,1+
0103_03,Earth,True,G/18/S,TRAPPIST-1e,False,False,103,3,3,G,S,0.0,0,0.0,0.0,0,1+
0105_01,Earth,False,F/21/P,TRAPPIST-1e,False,False,105,1,1,F,P,0.0,0,2.0,131.0,101+,1+
0107_01,Mars,False,D/2/S,TRAPPIST-1e,False,False,107,1,1,D,S,1743.0,1-50,0.0,0.0,1-50,1+
0108_01,Earth,True,G/19/S,TRAPPIST-1e,False,False,108,1,3,G,S,0.0,0,0.0,0.0,0,1+
0108_02,Earth,False,G/19/S,TRAPPIST-1e,False,False,108,2,3,G,S,562.0,0,0.0,0.0,101+,1+
0108_03,Earth,False,G/19/S,TRAPPIST-1e,False,True,108,3,3,G,S,0.0,0,0.0,0.0,0,1+
0110_01,Europa,False,G/734/S,TRAPPIST-1e,False,False,110,1,4,G,S,0.0,101+,3929.0,764.0,1-50,1+
0110_02,Europa,False,B/5/P,TRAPPIST-1e,False,False,110,2,4,B,P,0.0,101+,0.0,1687.0,0,1+
0110_03,Europa,False,B/5/P,TRAPPIST-1e,False,True,110,3,4,B,P,2209.0,101+,1868.0,445.0,0,1+
0110_04,Europa,True,B/5/P,TRAPPIST-1e,False,True,110,4,4,B,P,0.0,0,0.0,0.0,0,1+
0111_01,Europa,True,E/6/S,TRAPPIST-1e,False,True,111,1,1,E,S,0.0,0,0.0,0.0,0,1+
0112_01,Europa,False,B/1/S,55 Cancri e,True,True,112,1,1,B,S,0.0,101+,17.0,13.0,51-100,1+
0113_01,Earth,False,F/23/P,TRAPPIST-1e,False,True,113,1,1,F,P,0.0,0,0.0,0.0,101+,1+
0114_01,Earth,False,G/20/S,TRAPPIST-1e,False,False,114,1,1,G,S,82.0,101+,238.0,1.0,101+,1+
0115_01,Mars,False,F/24/P,TRAPPIST-1e,False,True,115,1,1,F,P,0.0,0,0.0,0.0,0,1+
0116_01,Europa,False,D/4/P,TRAPPIST-1e,False,True,116,1,1,D,P,1.0,101+,12.0,404.0,0,1+
0119_01,Earth,False,A/0/P,TRAPPIST-1e,False,False,119,1,2,A,P,0.0,101+,65.0,5567.159999999996,0,1+
0119_02,Europa,True,A/0/P,TRAPPIST-1e,False,True,119,2,2,A,P,0.0,0,0.0,0.0,0,1+
0120_01,Mars,True,F/25/P,TRAPPIST-1e,False,True,120,1,1,F,P,0.0,0,0.0,0.0,0,1+
0122_01,Earth,False,G/21/S,TRAPPIST-1e,False,False,122,1,1,G,S,0.0,0,699.0,74.0,0,1+
0123_01,Earth,False,F/27/P,TRAPPIST-1e,False,False,123,1,1,F,P,55.0,101+,0.0,1.0,1-50,1+
0126_01,Mars,True,F/27/S,TRAPPIST-1e,False,True,126,1,1,F,S,0.0,0,0.0,0.0,0,1+
0127_01,Mars,False,E/7/S,TRAPPIST-1e,False,False,127,1,1,E,S,701.0,0,0.0,25.0,101+,1+
0128_01,Mars,False,D/3/S,TRAPPIST-1e,True,False,128,1,2,D,S,2353.0,101+,316.0,2.0,1-50,1+
0128_02,Mars,False,E/8/S,TRAPPIST-1e,False,False,128,2,2,E,S,2103.0,1-50,0.0,0.0,0,1+
0129_01,Earth,True,G/22/S,PSO J318.5-22,False,True,129,1,1,G,S,0.0,0,0.0,0.0,0,1+
0133_01,Mars,True,F/29/S,TRAPPIST-1e,False,True,133,1,2,F,S,0.0,0,0.0,0.0,0,1+
0133_02,Mars,False,D/5/S,TRAPPIST-1e,False,False,133,2,2,D,S,2738.0,0,0.0,0.0,0,1+
0134_01,Earth,False,G/17/P,TRAPPIST-1e,False,True,134,1,1,G,P,0.0,1-50,0.0,0.0,101+,1+
0136_01,Earth,False,G/23/S,PSO J318.5-22,False,False,136,1,1,G,S,97.0,101+,25.0,55.0,101+,1+
0138_01,Earth,True,G/18/P,TRAPPIST-1e,False,True,138,1,2,G,P,0.0,0,0.0,0.0,0,1+
0138_02,Earth,False,E/5/P,TRAPPIST-1e,False,False,138,2,2,E,P,0.0,1-50,564.0,207.0,0,1+
0139_01,Europa,True,C/6/S,55 Cancri e,False,True,139,1,1,C,S,0.0,0,0.0,0.0,0,1+
0140_01,Earth,True,G/19/P,TRAPPIST-1e,False,True,140,1,2,G,P,0.0,0,0.0,0.0,0,1+
0140_02,Earth,False,F/29/P,TRAPPIST-1e,False,False,140,2,2,F,P,440.0,0,0.0,462.0,0,1+
0141_01,Mars,False,F/30/P,TRAPPIST-1e,False,False,141,1,1,F,P,0.0,0,0.0,0.0,51-100,1+
0144_01,Earth,False,F/31/S,TRAPPIST-1e,False,True,144,1,1,F,S,0.0,101+,0.0,0.0,101+,1+
0146_01,Earth,False,G/25/S,TRAPPIST-1e,False,False,146,1,1,G,S,0.0,0,0.0,0.0,0,1+
0147_01,Earth,True,G/26/S,TRAPPIST-1e,False,True,147,1,1,G,S,0.0,0,0.0,0.0,0,1+
0148_01,Mars,False,F/31/P,TRAPPIST-1e,False,False,148,1,1,F,P,1072.0,0,0.0,76.0,1-50,1
0149_01,Earth,True,G/27/S,55 Cancri e,False,True,149,1,1,G,S,0.0,0,0.0,0.0,0,1+
0151_01,Earth,True,G/20/P,55 Cancri e,False,False,151,1,1,G,P,0.0,0,0.0,0.0,0,1+
0152_01,Earth,False,F/32/P,TRAPPIST-1e,False,False,152,1,1,F,P,0.0,0,0.0,607.0,0,1+
0160_01,Earth,False,G/22/P,TRAPPIST-1e,False,False,160,1,1,G,P,3087.24,0,0.0,61.0,0,1
0163_01,Europa,True,B/8/P,TRAPPIST-1e,False,True,163,1,2,B,P,0.0,0,0.0,0.0,0,1+
0163_02,Europa,True,B/8/P,TRAPPIST-1e,False,True,163,2,2,B,P,0.0,0,0.0,0.0,0,1+
0164_01,Earth,False,G/28/S,TRAPPIST-1e,False,True,164,1,2,G,S,50.0,101+,0.0,135.0,0,1+
0164_02,Earth,True,G/28/S,PSO J318.5-22,False,False,164,2,2,G,S,0.0,0,0.0,0.0,0,1+
0165_01,Mars,True,F/37/P,TRAPPIST-1e,False,True,165,1,1,F,P,0.0,0,0.0,0.0,0,1+
0167_01,Mars,True,F/35/S,TRAPPIST-1e,False,True,167,1,2,F,S,0.0,0,0.0,0.0,0,1+
0167_02,Mars,False,F/35/S,TRAPPIST-1e,False,False,167,2,2,F,S,1365.0,0,22.0,137.0,1-50,1+
0169_01,Earth,True,G/23/P,TRAPPIST-1e,False,False,169,1,1,G,P,0.0,0,0.0,0.0,0,1+
0170_01,Earth,False,E/10/S,TRAPPIST-1e,False,False,170,1,1,E,S,0.0,0,221.0,567.0,0,1+
0171_01,Earth,True,G/30/S,PSO J318.5-22,False,True,171,1,1,G,S,0.0,0,0.0,0.0,0,1+
0172_01,Earth,True,G/24/P,TRAPPIST-1e,False,True,172,1,1,G,P,0.0,0,0.0,0.0,0,1+
0173_01,Earth,False,E/11/S,TRAPPIST-1e,False,True,173,1,1,E,S,0.0,101+,5.0,0.0,0,1+
0174_01,Earth,False,F/38/P,55 Cancri e,False,False,174,1,1,F,P,287.0,0,115.0,175.0,1-50,1+
0177_01,Europa,False,B/2/S,TRAPPIST-1e,False,False,177,1,1,B,S,0.0,101+,5294.519999999993,2111.0,1-50,1+
0178_01,Mars,False,D/6/S,TRAPPIST-1e,False,False,178,1,1,D,S,3087.24,0,28.0,119.0,101+,1+
0179_01,Earth,False,G/26/P,TRAPPIST-1e,False,True,179,1,3,G,P,1.0,101+,2.0,11.0,101+,1+
0179_02,Earth,False,G/26/P,TRAPPIST-1e,False,False,179,2,3,G,P,0.0,0,0.0,0.0,0,1+
0179_03,Earth,False,G/26/P,TRAPPIST-1e,False,True,179,3,3,G,P,0.0,0,0.0,0.0,0,1+
0181_01,Earth,False,G/27/P,TRAPPIST-1e,False,False,181,1,1,G,P,0.0,0,299.0,92.0,1-50,1+
0182_01,Europa,True,C/3/P,TRAPPIST-1e,False,True,182,1,1,C,P,0.0,0,0.0,0.0,0,1+
0183_01,Earth,False,F/36/S,TRAPPIST-1e,False,True,183,1,1,F,S,17.0,101+,0.0,232.0,101+,1+
0186_01,Earth,False,G/28/P,TRAPPIST-1e,False,False,186,1,1,G,P,62.0,0,0.0,956.0,0,1+
0188_01,Earth,True,G/31/S,TRAPPIST-1e,False,True,188,1,1,G,S,0.0,0,0.0,0.0,0,1+
0189_01,Earth,False,E/8/P,55 Cancri e,False,False,189,1,1,E,P,84.0,1-50,202.0,98.0,101+,1+
0190_01,Earth,True,G/32/S,55 Cancri e,False,False,190,1,1,G,S,0.0,0,0.0,0.0,0,1+
0192_01,Earth,True,G/29/P,TRAPPIST-1e,False,True,192,1,3,G,P,0.0,0,0.0,0.0,0,1+
0192_02,Earth,False,G/29/P,TRAPPIST-1e,False,False,192,2,3,G,P,0.0,0,0.0,0.0,0,1+
0192_03,Earth,False,G/29/P,TRAPPIST-1e,False,False,192,3,3,G,P,0.0,0,898.0,0.0,1-50,1+
0193_01,Mars,True,F/41/P,TRAPPIST-1e,False,True,193,1,3,F,P,0.0,0,0.0,0.0,0,1+
0193_02,Mars,False,F/41/P,TRAPPIST-1e,False,False,193,2,3,F,P,0.0,0,1072.0,0.0,1-50,1+
0193_03,Mars,False,F/41/P,TRAPPIST-1e,False,True,193,3,3,F,P,0.0,0,0.0,0.0,0,1+
0195_01,Mars,False,F/42/P,TRAPPIST-1e,False,True,195,1,1,F,P,406.0,0,0.0,0.0,101+,1+
0196_01,Mars,False,D/5/P,PSO J318.5-22,False,False,196,1,1,D,P,1052.0,0,0.0,7.0,101+,1+
0197_01,Europa,False,C/5/P,TRAPPIST-1e,False,False,197,1,1,C,P,0.0,101+,795.0,575.0,0,1+
0198_01,Earth,False,G/30/P,PSO J318.5-22,False,True,198,1,1,G,P,0.0,0,0.0,0.0,0,1+
0199_01,Earth,True,G/33/S,TRAPPIST-1e,False,False,199,1,1,G,S,0.0,0,0.0,0.0,0,1+
0200_01,Earth,True,G/31/P,TRAPPIST-1e,False,True,200,1,1,G,P,0.0,0,0.0,0.0,0,1+
0201_01,Europa,True,B/3/S,TRAPPIST-1e,False,True,201,1,2,B,S,0.0,0,0.0,0.0,0,1+
0201_02,Europa,True,B/3/S,TRAPPIST-1e,False,True,201,2,2,B,S,0.0,0,0.0,0.0,0,1+
0202_01,Europa,True,B/9/P,55 Cancri e,False,True,202,1,2,B,P,0.0,0,0.0,0.0,0,1+
0202_02,Europa,False,A/2/P,55 Cancri e,False,True,202,2,2,A,P,0.0,101+,878.0,443.0,0,1+
0203_01,Europa,True,C/8/S,TRAPPIST-1e,False,True,203,1,1,C,S,0.0,0,0.0,0.0,0,1
0205_01,Earth,False,G/34/S,TRAPPIST-1e,False,False,205,1,1,G,S,0.0,1-50,0.0,705.0,51-100,1+
0206_01,Europa,False,C/9/S,55 Cancri e,False,True,206,1,1,C,S,2.0,101+,1125.0,122.0,1-50,1
0207_01,Earth,True,G/32/P,PSO J318.5-22,False,False,207,1,1,G,P,0.0,0,0.0,0.0,0,1+
0210_01,Earth,True,D/6/P,55 Cancri e,False,True,210,1,1,D,P,0.0,0,0.0,0.0,0,1+
0211_01,Mars,False,F/44/P,TRAPPIST-1e,False,True,211,1,3,F,P,902.0,1-50,0.0,0.0,101+,1+
0211_02,Mars,True,F/44/P,TRAPPIST-1e,False,True,211,2,3,F,P,0.0,0,0.0,0.0,0,1+
0211_03,Mars,False,F/44/P,TRAPPIST-1e,False,False,211,3,3,F,P,848.0,0,182.0,0.0,101+,1+
0212_01,Earth,False,E/9/P,TRAPPIST-1e,False,False,212,1,2,E,P,192.0,0,51.0,739.0,0,1+
0212_02,Earth,False,F/45/P,TRAPPIST-1e,False,False,212,2,2,F,P,147.0,101+,10.0,387.0,0,1+
0213_01,Earth,False,F/46/P,TRAPPIST-1e,False,False,213,1,1,F,P,367.0,101+,0.0,146.0,0,1+
0216_01,Earth,False,F/40/S,55 Cancri e,False,False,216,1,1,F,S,0.0,51-100,0.0,1918.0,0,1+
0217_01,Earth,False,F/47/P,TRAPPIST-1e,False,False,217,1,1,F,P,1517.0,0,27.0,0.0,0,1+
0219_01,Earth,True,G/36/P,TRAPPIST-1e,False,True,219,1,1,G,P,0.0,0,0.0,0.0,0,1+
0220_01,Earth,True,G/37/P,TRAPPIST-1e,False,True,220,1,7,G,P,0.0,0,0.0,0.0,0,1+
0220_02,Earth,False,G/37/P,TRAPPIST-1e,False,True,220,2,7,G,P,0.0,0,0.0,0.0,0,1+
0220_03,Earth,True,G/37/P,TRAPPIST-1e,False,False,220,3,7,G,P,0.0,0,0.0,0.0,0,1+
0220_04,Earth,False,E/10/P,TRAPPIST-1e,False,False,220,4,7,E,P,122.0,51-100,0.0,0.0,0,1+
0220_05,Earth,False,F/48/P,TRAPPIST-1e,False,False,220,5,7,F,P,0.0,1-50,0.0,1099.0,0,1+
0220_06,Earth,False,G/37/P,55 Cancri e,False,False,220,6,7,G,P,0.0,0,0.0,0.0,0,1+
0220_07,Earth,True,G/37/P,TRAPPIST-1e,False,True,220,7,7,G,P,0.0,0,0.0,0.0,0,1+
0221_01,Mars,False,E/13/S,55 Cancri e,False,False,221,1,7,E,S,2237.0,0,0.0,0.0,101+,1+
0221_02,Mars,False,E/13/S,TRAPPIST-1e,False,False,221,2,7,E,S,1215.0,51-100,2.0,0.0,1-50,1+
0221_03,Mars,False,E/13/S,TRAPPIST-1e,False,False,221,3,7,E,S,1933.0,1-50,1.0,0.0,101+,1+
0221_04,Mars,True,E/13/S,TRAPPIST-1e,False,True,221,4,7,E,S,0.0,0,0.0,0.0,0,1+
0221_05,Mars,False,E/13/S,TRAPPIST-1e,False,False,221,5,7,E,S,1230.0,0,43.0,1023.0,101+,1+
0221_06,Mars,False,E/13/S,TRAPPIST-1e,False,False,221,6,7,E,S,915.0,0,234.0,0.0,101+,1+
0221_07,Mars,True,E/13/S,TRAPPIST-1e,False,False,221,7,7,E,S,0.0,0,0.0,0.0,0,1+
0222_01,Mars,False,F/41/S,TRAPPIST-1e,False,False,222,1,3,F,S,1406.0,0,11.0,0.0,0,1+
0222_02,Mars,True,F/41/S,TRAPPIST-1e,False,True,222,2,3,F,S,0.0,0,0.0,0.0,0,1+
0222_03,Mars,True,E/14/S,TRAPPIST-1e,False,True,222,3,3,E,S,0.0,0,0.0,0.0,0,1+
0223_01,Earth,False,G/35/S,TRAPPIST-1e,False,False,223,1,1,G,S,0.0,1-50,0.0,9.0,101+,1+
0224_01,Mars,False,F/42/S,TRAPPIST-1e,True,False,224,1,1,F,S,181.0,0,1634.0,0.0,1-50,1
0225_01,Earth,True,G/38/P,PSO J318.5-22,False,True,225,1,1,G,P,0.0,0,0.0,0.0,0,1+
0229_01,Earth,False,F/43/S,TRAPPIST-1e,False,False,229,1,1,F,S,4.0,1-50,713.0,79.0,0,1+
0231_01,Mars,False,F/44/S,TRAPPIST-1e,False,False,231,1,1,F,S,85.0,0,1720.0,0.0,1-50,1+
0232_01,Earth,True,G/36/S,PSO J318.5-22,False,False,232,1,1,G,S,0.0,0,0.0,0.0,0,1+
0233_01,Mars,False,F/45/S,TRAPPIST-1e,False,False,233,1,1,F,S,56.0,0,1438.0,0.0,101+,1+
0234_01,Earth,False,F/50/P,TRAPPIST-1e,False,False,234,1,1,F,P,0.0,101+,0.0,0.0,0,1+
0237_01,Europa,True,B/11/P,TRAPPIST-1e,False,True,237,1,1,B,P,0.0,0,0.0,0.0,0,1
0239_01,Mars,False,G/734/S,TRAPPIST-1e,False,False,239,1,1,G,S,637.0,0,92.0,319.0,0,1+
